condition,condition_label,policy,policy_label,n_seeds,mean_reward_per_task,mean_base_task_return,mean_throughput_bonus,mean_trip_penalty,trip_rate,high_rate
in_domain,In-domain,physics_z0,"Physics, z=0",100,-41.5541016612776,-40.747601661277606,0.28099999999999997,-1.0875,0.014500000000000002,0.155
in_domain,In-domain,physics_z1_5,"Physics, z=1.5",100,-41.43643966810926,-41.54893966810926,0.225,-0.1125,0.0015000000000000002,0.114
in_domain,In-domain,hybrid_z0,"Physics + residual, z=0",100,-41.67875227452685,-40.72025227452686,0.27899999999999997,-1.2375,0.0165,0.156
in_domain,In-domain,hybrid_z1_5,"Physics + residual, z=1.5",100,-41.66013376226407,-41.78513376226407,0.20000000000000004,-0.075,0.001,0.10100000000000002
ood_sensor_noise,Sensor noise,physics_z0,"Physics, z=0",100,-43.09980569026237,-40.31030569026236,0.24799999999999997,-3.0375,0.0405,0.16449999999999995
ood_sensor_noise,Sensor noise,physics_z1_5,"Physics, z=1.5",100,-41.98214704414844,-41.16214704414844,0.22999999999999995,-1.05,0.014000000000000002,0.12899999999999998
ood_sensor_noise,Sensor noise,hybrid_z0,"Physics + residual, z=0",100,-42.50717274998694,-40.61567274998695,0.24599999999999997,-2.1375,0.02849999999999999,0.1515
ood_sensor_noise,Sensor noise,hybrid_z1_5,"Physics + residual, z=1.5",100,-41.9610098903397,-41.66850989033971,0.195,-0.4875,0.006500000000000001,0.10400000000000001
ood_cooling,Cooling shift,physics_z0,"Physics, z=0",100,-43.88361356139055,-42.03761356139055,0.10399999999999997,-1.95,0.025999999999999995,0.07800000000000001
ood_cooling,Cooling shift,physics_z1_5,"Physics, z=1.5",100,-43.01274109453028,-42.91424109453028,0.08899999999999997,-0.1875,0.0025,0.046999999999999986
ood_cooling,Cooling shift,hybrid_z0,"Physics + residual, z=0",100,-43.78253060484465,-42.12403060484465,0.10399999999999997,-1.7625,0.023499999999999997,0.0755
ood_cooling,Cooling shift,hybrid_z1_5,"Physics + residual, z=1.5",100,-43.05628687305509,-43.023786873055094,0.08,-0.1125,0.0015000000000000002,0.041499999999999995
ood_combined,Combined shift,physics_z0,"Physics, z=0",100,-44.76225239687482,-41.40225239687481,0.08999999999999998,-3.45,0.045999999999999985,0.091
ood_combined,Combined shift,physics_z1_5,"Physics, z=1.5",100,-43.856650666870884,-42.328150666870876,0.08399999999999999,-1.6125,0.0215,0.0635
ood_combined,Combined shift,hybrid_z0,"Physics + residual, z=0",100,-44.45804224485824,-41.69904224485824,0.09099999999999998,-2.85,0.038000000000000006,0.08350000000000002
ood_combined,Combined shift,hybrid_z1_5,"Physics + residual, z=1.5",100,-43.52386519533084,-42.62986519533085,0.081,-0.975,0.013000000000000003,0.0535
ood_shocks,Physical shocks,physics_z0,"Physics, z=0",100,-42.964686073500594,-41.0036860735006,0.21400000000000002,-2.175,0.028999999999999995,0.136
ood_shocks,Physical shocks,physics_z1_5,"Physics, z=1.5",100,-42.39748498654715,-41.85698498654716,0.172,-0.7125,0.009500000000000001,0.0955
ood_shocks,Physical shocks,hybrid_z0,"Physics + residual, z=0",100,-42.72444655159553,-41.06644655159553,0.21700000000000003,-1.875,0.024999999999999994,0.1335
ood_shocks,Physical shocks,hybrid_z1_5,"Physics + residual, z=1.5",100,-42.40719340917228,-42.14769340917227,0.153,-0.4125,0.0055000000000000005,0.08199999999999999
