condition,policy,mean_reward_per_task,thermal_trip_rate,high_power_rate,lifetimes,tasks
in_domain,physics_z0,-3.7865698041398463,0.0,0.4025,100,2000
in_domain,inherited_physics_z1_5,-4.113185641860339,0.0,0.331,100,2000
in_domain,selected_calibrated_margin,-4.236640160834779,0.0,0.304,100,2000
in_domain,hybrid_z1_5,-4.279856945749895,0.0,0.2945,100,2000
ood_combined,physics_z0,-8.367781018329435,0.05199999999999999,0.25249999999999995,100,2000
ood_combined,inherited_physics_z1_5,-6.204162042834779,0.019000000000000003,0.1905,100,2000
ood_combined,selected_calibrated_margin,-6.070287058876542,0.016,0.172,100,2000
ood_combined,hybrid_z1_5,-5.997454544638385,0.013999999999999999,0.1555,100,2000
ood_cooling,physics_z0,-4.989561454099756,0.0085,0.2845,100,2000
ood_cooling,inherited_physics_z1_5,-4.716956374968157,0.0005,0.21300000000000005,100,2000
ood_cooling,selected_calibrated_margin,-4.760836890441,0.0,0.19500000000000003,100,2000
ood_cooling,hybrid_z1_5,-4.879163769135901,0.0,0.169,100,2000
ood_sensor_noise,physics_z0,-3.8043409012937786,0.0,0.3985,100,2000
ood_sensor_noise,inherited_physics_z1_5,-4.1402155321016,0.0,0.325,100,2000
ood_sensor_noise,selected_calibrated_margin,-4.25464462719459,0.0,0.3,100,2000
ood_sensor_noise,hybrid_z1_5,-4.307201919893683,0.0,0.28850000000000003,100,2000
ood_shocks,physics_z0,-4.670215560935787,0.0095,0.36649999999999994,100,2000
ood_shocks,inherited_physics_z1_5,-4.663751560981763,0.005,0.2945,100,2000
ood_shocks,selected_calibrated_margin,-4.679224284203695,0.0034999999999999996,0.26649999999999996,100,2000
ood_shocks,hybrid_z1_5,-4.588599202804155,0.0015000000000000002,0.2535,100,2000
