scope,scope_label,contrast,contrast_label,n_seeds,mean,sample_sd,bootstrap_95_ci_low,bootstrap_95_ci_high,sign_flip_two_sided_p
in_domain,In-domain,residual_at_z0,Residual at z=0,100,-0.12465061324925507,1.2645690868366344,-0.37518028584239765,0.11869287800828587,
in_domain,In-domain,residual_at_z1_5,Residual at z=1.5,100,-0.22369409415480135,0.7961531816546786,-0.38160448064426805,-0.06892418387107058,
in_domain,In-domain,uncertainty_without_residual,"Uncertainty, residual off",100,0.1176619931683392,1.774922559687107,-0.22294537127421338,0.4705865980782565,
in_domain,In-domain,uncertainty_with_residual,"Uncertainty, residual on",100,0.01861851226279292,1.8202934384370428,-0.32901640467874765,0.38118623437103716,
in_domain,In-domain,interaction,Residual x uncertainty,100,-0.09904348090554628,1.4198944257902442,-0.3723957824399524,0.1804406762568595,
ood_sensor_noise,Sensor noise,residual_at_z0,Residual at z=0,100,0.592632940275414,1.9029505042396526,0.22990160990173977,0.9740738508775378,
ood_sensor_noise,Sensor noise,residual_at_z1_5,Residual at z=1.5,100,0.021137153808735435,1.3789185166113882,-0.236823436185786,0.2994278705087009,
ood_sensor_noise,Sensor noise,uncertainty_without_residual,"Uncertainty, residual off",100,1.117658646113916,2.3004562067493577,0.6771792704497432,1.5728148210230257,
ood_sensor_noise,Sensor noise,uncertainty_with_residual,"Uncertainty, residual on",100,0.5461628596472375,2.005354708074481,0.16403559241483032,0.9444401232408002,
ood_sensor_noise,Sensor noise,interaction,Residual x uncertainty,100,-0.5714957864666786,2.195886373511754,-1.0051807694745507,-0.1453400117656975,
ood_cooling,Cooling shift,residual_at_z0,Residual at z=0,100,0.10108295654589597,0.6852359423220924,-0.02852811344315755,0.23939214053899688,
ood_cooling,Cooling shift,residual_at_z1_5,Residual at z=1.5,100,-0.04354577852482386,0.6292843135842914,-0.16864494227567559,0.07852171595081628,
ood_cooling,Cooling shift,uncertainty_without_residual,"Uncertainty, residual off",100,0.8708724668602674,1.5247047346220821,0.5714220866061365,1.163551190216411,
ood_cooling,Cooling shift,uncertainty_with_residual,"Uncertainty, residual on",100,0.7262437317895478,1.5517248500355283,0.41769819320048995,1.0237627400158302,
ood_cooling,Cooling shift,interaction,Residual x uncertainty,100,-0.14462873507071983,0.9441430958242926,-0.33113933343380125,0.03644003761940859,
ood_combined,Combined shift,residual_at_z0,Residual at z=0,100,0.30421015201658236,0.7520270321099147,0.1633764789177378,0.4546289427341325,
ood_combined,Combined shift,residual_at_z1_5,Residual at z=1.5,100,0.33278547154003296,0.8346405470140357,0.1763827399275772,0.5021545418714403,
ood_combined,Combined shift,uncertainty_without_residual,"Uncertainty, residual off",100,0.9056017300039446,1.2973309882725625,0.6490755273340663,1.1549904152461434,
ood_combined,Combined shift,uncertainty_with_residual,"Uncertainty, residual on",100,0.9341770495273954,1.2952018181691183,0.6794712594163161,1.1843516832799692,
ood_combined,Combined shift,interaction,Residual x uncertainty,100,0.028575319523450632,1.0962714303383578,-0.1840827853530801,0.24333961732749404,
ood_shocks,Physical shocks,residual_at_z0,Residual at z=0,100,0.2402395219050628,1.3204646682814045,-0.014198273380335726,0.4996826747745052,
ood_shocks,Physical shocks,residual_at_z1_5,Residual at z=1.5,100,-0.009708422625113969,1.2567480422151132,-0.25460017015060765,0.2336121443952114,
ood_shocks,Physical shocks,uncertainty_without_residual,"Uncertainty, residual off",100,0.5672010869534375,2.1516650170259948,0.1473059437551968,0.9837442035942848,
ood_shocks,Physical shocks,uncertainty_with_residual,"Uncertainty, residual on",100,0.3172531424232608,2.3198420382757856,-0.13436086406417058,0.7706355425208347,
ood_shocks,Physical shocks,interaction,Residual x uncertainty,100,-0.24994794453017677,1.796991849547221,-0.5992007790306686,0.09741550064214623,
target_ood_aggregate,Target OOD aggregate,residual_at_z0,Residual at z=0,100,0.33264201627929746,0.7491436080117866,0.18843690522044937,0.48159331290756147,1.8999981000019e-05
target_ood_aggregate,Target OOD aggregate,residual_at_z1_5,Residual at z=1.5,100,0.10345894894131487,0.5616544193872403,-0.004452076459085999,0.21465768847720065,0.06812593187406812
target_ood_aggregate,Target OOD aggregate,uncertainty_without_residual,"Uncertainty, residual off",100,0.964710947659376,1.1863969624736357,0.7328840680602233,1.1963021810734489,9.99999000001e-07
target_ood_aggregate,Target OOD aggregate,uncertainty_with_residual,"Uncertainty, residual on",100,0.7355278803213932,1.0963339879107425,0.5238573079434723,0.950208877071415,9.99999000001e-07
target_ood_aggregate,Target OOD aggregate,interaction,Residual x uncertainty,100,-0.22918306733798263,0.9092314831788257,-0.40718219549564877,-0.05113306746408212,0.01344998655001345
