policy,cutoff,uncertainty_multiplier,target_ood_mean_reward_per_task,maximum_trip_rate,buffered_safe,selected
physics_c0.055_z1.5,0.055,1.5,-5.055382649121602,0.0025,True,False
physics_c0.055_z1.75,0.055,1.75,-5.174907013532141,0.005,True,False
physics_c0.055_z2,0.055,2.0,-5.168866329897933,0.0025,True,False
physics_c0.055_z2.25,0.055,2.25,-5.141907905489468,0.0,True,False
physics_c0.060_z1.5,0.06,1.5,-5.316630385176586,0.0225,False,False
physics_c0.060_z1.75,0.06,1.75,-4.999955575262179,0.0075000000000000015,True,False
physics_c0.060_z2,0.06,2.0,-4.931701318377773,0.0075000000000000015,True,True
physics_c0.060_z2.25,0.06,2.25,-4.980937977267661,0.005,True,False
physics_c0.065_z1.5,0.065,1.5,-6.003838234188248,0.05250000000000001,False,False
physics_c0.065_z1.75,0.065,1.75,-5.801929029193872,0.0425,False,False
physics_c0.065_z2,0.065,2.0,-5.793726867769159,0.04000000000000001,False,False
physics_c0.065_z2.25,0.065,2.25,-5.458603686907149,0.03250000000000001,False,False
